T10Y3MM,T10Y2YM,TB3MS,FEDFUNDS,MPRIME,GS3M,T10YFFM,EXUSUK,GS10,GS2
1.59,1.01,0.29,0.36,3.5,0.3,1.53,1.4249,1.89,0.88
1.58,1.04,0.23,0.37,3.5,0.23,1.44,1.4319,1.81,0.77
1.53,0.99,0.27,0.37,3.5,0.28,1.44,1.4524,1.81,0.82
1.37,0.91,0.27,0.38,3.5,0.27,1.26,1.4197,1.64,0.73
1.2,0.83,0.3,0.39,3.5,0.3,1.11,1.3134,1.5,0.67
1.26,0.82,0.3,0.4,3.5,0.3,1.16,1.3101,1.56,0.74
1.34,0.86,0.29,0.4,3.5,0.29,1.23,1.314,1.63,0.77
1.43,0.92,0.33,0.4,3.5,0.33,1.36,1.233,1.76,0.84
1.69,1.16,0.45,0.41,3.5,0.45,1.73,1.2432,2.14,0.98
1.98,1.29,0.51,0.54,3.64,0.51,1.95,1.2483,2.49,1.2
1.91,1.22,0.51,0.65,3.75,0.52,1.78,1.2367,2.43,1.21
1.89,1.22,0.52,0.66,3.75,0.53,1.76,1.2495,2.42,1.2
1.73,1.17,0.74,0.79,3.88,0.75,1.69,1.2347,2.48,1.31
1.49,1.06,0.8,0.9,4,0.81,1.4,1.2639,2.3,1.24
1.4,1,0.89,0.91,4,0.9,1.39,1.2929,2.3,1.3
1.19,0.85,0.98,1.04,4.13,1,1.15,1.281,2.19,1.34
1.23,0.95,1.07,1.15,4.25,1.09,1.17,1.2996,2.32,1.37
1.18,0.87,1.01,1.16,4.25,1.03,1.05,1.2952,2.21,1.34
